mainCategory,title,content,subCategory,date,source
Promotion,"BTS's V, 'Concrete Utopia' director collaborate for IU's 'Love wins'","BTS's V and ""Concrete Utopia"" (2023) director Um Tae-hwa took part in singer-songwriter IU's upcoming prerelease single ""Love wins,"" her agency EDAM Entertainment said Tuesday.",Music Promotion.,2024-01-16,Korea JoongAng Daily
Music,IU to drop prerelease single 'Love wins',“Love wins” will be the artist’s first original music in over two years since her last EP. “Pieces.” was released in December 2021.,K-Pop Ballad,2024-01-15,Korea JoongAng Daily
Promotion,"IU, Lee Je-hoon, Nayeon warm the New Year with donations","Korean celebrities IU, Lee Je-hoon and Nayeon are continuing the New Year spirit with a round of donations.",Donation Campaign.,2024-01-05,Korea JoongAng Daily
Controversy,Documentary 'Persona: Sulli' on late actor to be released on Nov. 13,"The documentary film was originally planned to be released on Netflix in 2019 as part of its five-part series “Persona,” which first featured singer, songwriter and actor IU, whose real name is Lee Ji-eun.",Cyberbullying controversy.,2023-10-26,Korea JoongAng Daily
Controversy,IU's agency will show 'no leniency' for those who spread rumors about singer,"IU's agency EDAM Entertainment, on March 20, reported to the police 58 people who had repeatedly been posting malicious content about IU. It also filed a defamation suit against the spreaders of rumors of espionage in May.",Rumor Dispute,2023-10-06,Korea JoongAng Daily
Social,"IU donates 300 million won to medical, welfare organizations to mark 15th debut anniversary","The singer-songwriter donated to the Asan Medical Center, the Korean National Association of Child Welfare and the Seoul Metropolitan Children's Hospital as ""IUaena,"" a mash-up of the names IU and Uaena, her fan club.",Charitable Donation.,2023-09-18,Korea JoongAng Daily
Music,IU concert film to hit theaters worldwide in September,"Singer-songwriter IU's concert live recording film will open in cinemas worldwide starting with Korea on Sept. 13, her agency EDAM Entertainment said Wednesday.",K-Pop Ballad,2023-08-30,Korea JoongAng Daily
Music,IU concert film to premier on Sept. 13 at CGV theaters,"""IU Concert: The Golden Hour,"" a live recording of singer-songwriter and actor IU's 2022 concert, will premiere on Sept. 13, exclusively at CGV theaters.",Concert Film,2023-08-24,Korea JoongAng Daily
Music,IU to hold 15th anniversary concert in September,"Singer-songwriter IU will hold a concert to celebrate her 15th debut anniversary in September, her agency EDAM Entertainment said Tuesday.",K-Pop Ballad.,2023-08-22,Korea JoongAng Daily
Music,IU's concert film to hit theaters across country in September,A live recording of singer and actor IU's 2022 concert will premiere at theaters across the country next month to celebrate the singer having successfully filled the Olympic Main Stadium for the first time for a Korean female soloist in last ...,K-Pop Pop Ballad,2023-08-17,Korea JoongAng Daily
Controversy,IU's copyright battle with German band continues with new claims,"Plagiarism accusations surrounding German band Nekta's ""Here's Us"" (2009) and K-pop singer IU's ""The Red Shoes"" (2013) have been persisting for a decade. Now, the two parties are making different claims about who failed to reply to whom 10 years ...",Copyright dispute,2023-06-21,Korea JoongAng Daily
Music,[THINK ENGLISH] 제니하우스에 K-뷰티 체험하러 온 말레이시안 인플루언서들,"When a K-drama skyrockets to global success, the cast members and plot are not the only elements under a microscope. Viewers from all over the globe pay particular attention to the main actors’ outfits and makeup, like IU from “Hotel del Luna”...",K-Pop Ballad,2023-06-09,Korea JoongAng Daily
Social,Malaysian influencers primped by Korea's premium beauty salon jennyhouse,"When a K-drama skyrockets to global success, the cast members and plot are not the only elements under a microscope. Viewers from all over the globe pay particular attention to the main actors’ outfits and makeup, like IU from “Hotel del Luna”...",K-Drama Fandom,2023-05-25,Korea JoongAng Daily
Promotion,"[FACTCHECK] Le Sserafim, IU and the copyright witch-hunt","The issue of plagiarism has been lurking in the music industry for as long as there has been an industry, but the growing awareness of copyright and easier online access to songs have led to a growing number of accusations that a new song ...",Copyright lawsuit.,2023-05-22,Korea JoongAng Daily
Social,IU donates 250 million won to organizations in need to mark her birthday,"Singer-songwriter IU donated 250 million won ($187,000) to organizations in need, in celebration of her birthday, her agency EDAM Entertainment announced Tuesday. “The things I’ve learned from Uaena, the things I felt ...",Donation Gesture,2023-05-16,Korea JoongAng Daily
Music,Korean film 'Dream' reaches 1 million tickets sold,"“Dream,” starring IU (real name Lee Ji-eun) and Park Seo-joon, reached one million sold tickets on Thursday, the sixteenth day of its release, distributor Plus M Entertainment announced the same day. Helmed by director Lee Byeong-heon, known for...",K-Pop,2023-05-11,Korea JoongAng Daily
Controversy,Singer IU reported to police for alleged plagiarism,"Six of singer IU’s songs were reported to the police for alleged plagiarism, but the singer’s agency warned legal actions will be taken should they turn out to be false. Local media shared on Wednesday that the singer has been ...",Plagiarism dispute,2023-05-10,Korea JoongAng Daily
Promotion,Yesung of Super Junior to release Japanese EP on May 24,"Yesung of boy band Super Junior will release his new Japanese EP ""Kimito iu sakurano hanabiraga bokuno kokoroni maiorita"" (translated) on May 24, his agency SM Entertainment said Tuesday. This will be the singer's latest ...",Japanese EP release.,2023-05-09,Korea JoongAng Daily
Promotion,IU and Lee Byung-hun donate to charities helping children,"Singer IU and actor Lee Byung-hun each donated 100 million won ($75,900) to children’s organizations just in time for Children’s Day in Korea, which is on May 5. IU donated the sum to the Child Fund, a domestic charitable organization that deals...",Donation campaign,2023-05-05,Korea JoongAng Daily
Acting,'Dream' is first Korean film to top box office in 50 days,"“Dream,” starring actors IU and Park Seo-joon, is the first Korean film in 50 days to land atop the box office, its distributor Plus M announced Thursday. The film topped the box office on Wednesday, the first day of its release ...",Movie Starring,2023-04-27,Korea JoongAng Daily
Social,IU says cheerful character attracted her to latest film 'Dream',"Singer and actor IU wanted to get away from all the murders and scheming and child trafficking — well, at least on screen. “When I first received the script for ‘Dream’ four years ago, I had been working on dramas like ‘My Mister’ and ...",Public Appearances,2023-04-24,Korea JoongAng Daily
Music,Suga’s first solo album features late Japanese composer Ryuichi Sakamoto,"The first solo album from BTS’s Suga features a star-studded lineup, including late composer Ryuichi Sakamoto, singer IU and his bandmate J-Hope. A teaser released Monday on boy band BTS’s social media revealed the ...",Electronic/Experimental,2023-04-10,Korea JoongAng Daily
Music,BTS's Suga tops charts with 'People Pt.2' collab with IU,"Suga of boy band BTS is topping charts around the world with ""People Pt.2,"" his second collaboration with singer IU released Friday. As of Saturday at 9 a.m., the song sat at the No. 1 spot on the iTunes chart in 87 regions including ...",K-Pop Hip Hop,2023-04-09,Korea JoongAng Daily
Promotion,"Suga from BTS to drop song featuring IU on Friday, before album release","Suga from BTS will release “People Pt.2 (feat. IU)” on April 7, prior to his first official solo album “D-DAY,” set to release on April 21. The teaser photo released Wednesday on the boy band’s social media page showed Suga ...",Digital Single Teaser,2023-04-05,Korea JoongAng Daily
Controversy,Politician under fire for fanfic he wrote about singer IU,"Jang Ye-chan, a 34-year-old candidate for head of the youth division of the People Power Party (PPP), came under fire after his past fanfic that allegedly depicts female singer IU in an inappropriate manner surfaced on Sunday ...",Fanfic controversy.,2023-02-27,Korea JoongAng Daily
Music,"Singer IU, BTS's Jungkook land on Rolling Stone’s 'Greatest Singers of All Time' list","Singer IU and Jungkook of boy band BTS were named on Rolling Stone’s list of “Greatest Singers of All Time.” They were the only K-pop singers on the list revealed Monday. Two-hundred singers from all regions and generations were included, such as ...",K-Pop Singer,2023-01-02,Korea JoongAng Daily
Promotion,Singer IU and actor Lee Jong-suk are in a relationship,"Singer-turned-actor IU and actor Lee Jong-suk are in a relationship, both of their agencies confirmed over the weekend. Lee’s High Zium Studio confirmed the information to Dispatch on Saturday, after the local entertainment news outlet ...",Celebrity Relationship.,2022-12-31,Korea JoongAng Daily
Controversy,Internet bully targeting IU fined 3 million won,"A malicious commenter targeting singer and actor IU has been ordered to pay a 3 million won ($2,300) fine by the court, according to IU's agency EDAM Entertainment on Tuesday. In a post on the agency's social media, EDAM said that it is currently...",Cyberbullying incident.,2022-12-13,Korea JoongAng Daily
Music,IU to sing at girl group T-ara member Jiyeon's wedding,Singer IU will be singing at the wedding of Jiyeon of girl group T-ara and baseball star Hwang Jae-gyun on Saturday. IU’s agency EDAM Entertainment confirmed the news with local media on Friday. The couple announced back in February...,K-Pop Ballad,2022-12-09,Korea JoongAng Daily
Music,K-pop boy band NCT 127 to hold concert at Olympic Main Stadium next month,"Boy band NCT 127 will hold a hold a concert at Olympic Main Stadium next month, according to SM Entertainment. Part of the band’s ongoing world tour, two runs of “Neo City : Seoul – The Link” concerts, will take place on Oct. 22 and 23.",Concert event announcement,2022-09-26,Korea JoongAng Daily
Music,IU holds concert 'The Golden Hour' for first time in three years over weekend,"IU held her first in-person concert in three years at the Seoul Olympic Main Stadium in Jamsil, southern Seoul, over the weekend. After the extended period of being unable to see her fans face to face, the singer was greeted by an audience filling...",K-Pop Ballad,2022-09-19,Korea JoongAng Daily
Controversy,IU’s agency cracks down on illegal tickets for singer’s upcoming concert,"IU’s agency EDAM Entertainment announced Thursday that it canceled tickets that were obtained illegally for the singer’s upcoming concert.
On IU’s official fan community, the agency said that it has “permanently expelled four people from IU’s...",Scalp Tickets Scandal,2022-08-12,Korea JoongAng Daily
Music,IU to host solo concert 'The Golden Hour' at Jamsil Olympic Stadium,"Singer and actor IU, who last appeared in director Hirokazu Kore-eda’s “Broker” in June, is returning to her singing career. IU will host her solo concert “The Golden Hour” at Jamsil Olympic Stadium in Songpa District, southern Seoul, on Sept. 17...",K-Pop Ballad,2022-07-28,Korea JoongAng Daily
Controversy,Netizen punished for malicious posts about IU,"EDAM Entertainment representing singer and actor IU, whose real name is Lee Ji-eun, released on June 21 the results of the lawsuit it had filed against a netizen who has been “habitually posting insults, slander and malicious posts ...",Cyber Bullying.,2022-06-22,Korea JoongAng Daily
Promotion,Korea's next top actors may already be on your fave music playlist,"""I didn’t really know any songs by IU, but I was a fan of her as an actor,"" actor Song Kang-ho said of fellow actor Lee Ji-eun, also known as singer-songwriter IU. ""Even before ‘My Mister’ [2018, on tvN], I’ve been following her since...",Endorsement/Interview.,2022-06-15,Korea JoongAng Daily
Promotion,IU isn't who she used to be in newest film 'Broker',"With long, bleached hair splitting at the ends and heavy smoky-eye makeup, the girl holding a baby in her arms in ""Broker"" seems far removed from the familiar K-pop star IU that fans know and love. In “Broker,” Japanese director Hirokazu...",Media Profile,2022-06-08,Korea JoongAng Daily
Controversy,"IU steps down from role in 'Money Game,' replaced by actor Chun Woo-hee","Singer IU, whose real name is Lee Ji-eun, will no longer appear in upcoming television series “Money Game” due to “schedule problems.” Actor Chun Woo-hee will take the role instead. Studio N, the production company behind “Money Game,” said...",Schedule dispute controversy.,2022-05-27,Korea JoongAng Daily
Controversy,Nice surprise,"Singer and actor Lee Ji-eun, also known as IU, is swarmed by media and fans who have gathered at the Nice Cote d'Azur Airport in France on Wednesday. Lee is visiting Nice for the 75th Cannes Film Festival. Lee is featured in Palme d’Or winner ...",Media Overwhelming Incident,2022-05-25,Korea JoongAng Daily
Social,IU celebrates her birthday with charitable donation,"Singer IU, also known as Lee Ji-eun, donated 200 million won ($155,700) to charities, according to her agency Edam Entertainment on Monday. The donation was made in celebration of the singer’s 29th birthday, with fell on the same day. “IU ...",Philanthropic Donation,2022-05-16,Korea JoongAng Daily
Promotion,Celebrities make charitable donations to mark Children's Day,"Celebrities are commemorating Children's Day, which marks its 100th anniversary this year, by making donations to charity. According to EDAM Entertainment Thursday, singer and actor IU donated 100 million won ($79,600) to ChildFund Korea, which...",Donation Campaign,2022-05-05,Korea JoongAng Daily
Music,Korean film 'Broker' invited to compete for Palme d’Or,"The Korean film “Broker,” starring actors Song Kang-ho, Gang Dong-won, Bae Doo-na and Lee Ji-eun (better known as singer-songwriter IU), has been invited to compete for the Palme d’Or of the 75th Cannes Film Festival. The Palme d’Or is the...",K-pop/Singer-Songwriter,2022-04-15,Korea JoongAng Daily
Promotion,Celebrities donate to victims of wildfires raging along east coast,"A string of celebrities have made donations for the victims of massive wildfires that are blazing along the country's eastern coastal area. Actor-singer IU and actors Lee Byung-hun and Song Kang-ho each donated 100 million won ($82,170), according...",Charity Donation,2022-03-06,Korea JoongAng Daily
Promotion,"IU, Ryu Jun-yeol and Park Jeong-min to star in 'Money Game' adaptation","The popular thriller webtoons “Money Game” (2018-20) and its sequel “Pie Game” (2020-21) by cartoonist Bae Jin-soo are set to be adapted into an eight-episode series, Naver Webtoon said Friday. The show will be directed by Han Jae-rim, who is...",Project Announcement,2022-01-28,Korea JoongAng Daily
Music,Second year in a row,"K-pop singer IU, second from right, gives a speech after winning the top prize in the digital song category of the 36th Golden Disc Awards, in a ceremony held at Gocheok Sky Dome in Guro District, southwestern Seoul, on Saturday. IU, whose real...",K-pop/Pop Ballad,2022-01-09,Korea JoongAng Daily
Music,IU's EP 'Pieces' already topping local charts,"Singer IU's EP ""Pieces,"" released on Wednesday, is already topping domestic music charts. The EP's lead track ""Winter Sleep"" ranked first on Korea's major music streaming site Melon as of Thursday afternoon. ""Drama"" is at 6th place, ""Next Stop"" ...",K-Pop Ballad,2021-12-30,Korea JoongAng Daily
Music,NME names IU's 'Lilac' No. 1 on 'The 25 best K-pop songs of 2021' list,"Singer-songwriter IU’s “Lilac” (2021) was named No. 1 on NME’s list of “The 25 best K-pop songs of 2021” on Monday. “While most the world took its sweet time coming out from the pandemic-induced nightmare that was 2020, K-pop jumped out of the...",K-pop song,2021-12-21,Korea JoongAng Daily
Music,IU performance is 2021's most-watched YouTube video in Korea,"The most watched YouTube video in Korea in 2021 was a live performance by singer IU. In its annual end-of-year report on Thursday, YouTube Korea revealed a video of IU singing a medley of her hit songs titled “DM Special Killing Voice – IU” on...",K-Pop Ballad,2021-12-02,Korea JoongAng Daily
Music,IU set to perform at Melon Music Awards 2021,"IU’s label EDAM Entertainment confirmed Monday that the singer and songwriter will perform at the upcoming MMA 2021, otherwise known as the Melon Music Awards, for the first time in four years. When she last attended the awards in 2017, she won...",K-Pop/Pop Ballad,2021-11-22,Korea JoongAng Daily
Music,Sibling duo AKMU to perform offline in Busan and Seoul this month,"K-pop sibling duo AKMU is scheduled to perform offline in Busan and Seoul on Sunday and Oct. 31, according to its agency YG Entertainment Thursday. The duo will appear in “2021 Someday Theatre Cantabile” at Bexco Auditorium in Busan on Sunday, and...",K-Pop,2021-10-21,Korea JoongAng Daily
Music,IU’s latest digital single 'Strawberry Moon' certified 'All-Kill',Singer and actor IU’s latest digital single “Strawberry Moon” is killing it. Local music chart iChart announced Wednesday that IU has received the “All-Kill” certification for “Strawberry Moon.” An all-kill certification is awarded to songs ...,K-Pop Pop.,2021-10-20,Korea JoongAng Daily
Social,IU celebrates debut anniversary with charitable donations,"Singer IU made donations to the underprivileged and neighborhood Covid-19 screening clinics to celebrate the 13th anniversary of her debut, her agency EDAM Entertainment said Friday. She mostly donated necessities such as clothes and food that...",Public Appearances,2021-09-17,Korea JoongAng Daily
Music,Double trouble,"Brother-and-sister duo AKMU held an online press conference Monday to talk about its new album. The album “Next Episode” includes songs that feature collaborations with singers like IU, Zion.T and Beenzino.",K-Pop/R&B,2021-07-26,Korea JoongAng Daily
Promotion,Singer IU announced as face of Kakao Webtoon,Singer IU has been chosen as the model for new global webtoon platform. Kakao Entertainment announced Friday that IU will be the face of Kakao Webtoon that is slated to launch next month...,"""Endorsement Announcement""

(Brief description: Official announcement for IU as the face of Kakao Webtoon)",2021-07-16,Korea JoongAng Daily
Music,Singer IU celebrates her birthday with a charitable donation,"To celebrate her birthday, singer IU made a charitable donation. She donated 500 million won ($440,500) to many different organizations such as the Korea Pediatric Cancer Foundation, the Korean Unwed Mothers Families Association, among others.",Human Interest,2021-05-17,Korea JoongAng Daily
Music,IU's latest album takes top spot on iTunes charts in 11 countries,"IU’s fifth full-length album “Lilac” swept major music charts Friday a day after its release and took the top spots on iTunes’ album charts in 11 different countries. ""Lilac"" features 10 songs and comes four years after IU's last album “Palette.”",Album Release,2021-03-26,Korea JoongAng Daily
Music,IU returns to Spotify as service reaches deal with Kakao,Spotify and Kakao Entertainment have finally reached a licensing agreement which will see a score of top K-pop songs return to the music streaming service from Friday.,"""Spotify Streaming Deal""",2021-03-11,Korea JoongAng Daily
Music,Music distributed by Kakao M no longer available on Spotify,"Subscribers to global music streaming service Spotify will be unable to hear any songs from Korean singer IU from Monday. It stopped providing work from artists affiliated with Kakao M, including IU, as the license contract of the songs has expired.",K-Pop,2021-03-01,Korea JoongAng Daily
Music,IU's latest single 'Celebrity' storms local music charts,"Singer IU stormed local music charts with her latest music ""Celebrity,"" signaling yet another successful year ahead of her while she readies for the release of her fifth full-length album. IU dropped her single ""Celebrity"" on Wednesday and topped ...",K-Pop Pop,2021-01-28,Korea JoongAng Daily
Music,tvN’s 'Hotel Del Luna' set for musical adaptation,"Hit tvN’s drama series “Hotel Del Luna” (2019) will be turned into a musical, production company Showplay said Wednesday. It will hit the stage in 2022. Starring popular singer-actor Lee Ji-eun, better known as IU, and Yeo Jin-goo ...",K-Pop Ballad.,2021-01-27,Korea JoongAng Daily
Music,IU unveils name of her upcoming single set to drop Jan. 27,"Star solo artist IU will pre-release her single “Celebrity” before the official release of her new full-length album on Jan. 27, according to her agency Edam Entertainment Friday.
“[The song] has a cheery bright pop sound which will...",Pop Song,2021-01-15,Korea JoongAng Daily
Music,"IU to release a new track on Jan. 27, album on the way","IU will release a new song on Jan. 27 ahead of the release of her fifth album, according to her agency EDAM Entertainment on Monday. It has been three years since IU released her most recent full-length album “Palette” in 2017.",New Song Release,2021-01-11,Korea JoongAng Daily
Music,Grand prize,"Singer-songwriter IU, who real name is Lee Ji-eun, won the Grand Prize in the Digital Song category of the 35th Golden Disc Awards, a major K-pop music award, for her song ""Blueming."" The ceremony was held at Kintex in Goyang, Gyeonggi, Saturday...",K-Pop Ballad.,2021-01-10,Korea JoongAng Daily
