title,content,url,thumbnail,source,date,formatted_date,celebrity,mainCategory,created_at,status
K-pop agencies seek legal action against online haters,"K-pop agencies are seeking to punish those who post derogatory comments about their artists online, with cases involving IU and Taeyeon being the latest examples.",https://koreajoongangdaily.joins.com/news/2024-12-03/entertainment/kpop/Kpop-agencies-seek-legal-action-against-online-haters/2191600,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/03/229ab616-4003-4db2-914e-3ecdbb1137fb.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-12-03,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU and Byeon Woo-seok to lead new MBC romance series,"IU and Byeon Woo-seok will lead a new MBC romance series, Kakao Entertainment confirmed on Monday.",https://koreajoongangdaily.joins.com/news/2024-12-02/entertainment/television/IU-and-Byeon-Wooseok-to-lead-new-MBC-romance-series/2190398,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/02/fccdcb9d-195c-4b69-a426-8c8f92a7344f.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-12-02,iu,Acting,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"IU's agency pursues legal action against 180 people for defamation, espionage rumors","Singer and songwriter IU’s agency EDAM Entertainment is currently pursuing legal action against 180 individuals for spreading malicious and false information regarding its artist, the agency said Monday.",https://koreajoongangdaily.joins.com/news/2024-11-11/entertainment/kpop/IUs-agency-pursues-legal-action-against-180-people-for-defamation-espionage-rumors-/2175224,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/11/11/8c52f64a-d2af-4aa3-81f4-20326b10896b.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-11-11,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"Korea's live music ticket sales rise nearly 16% in Q3 with success of 'Chicago,' IU","Korea's live music ticket sales rose nearly 16 percent, or 51.4 billion won ($36.8 million), on year in the third quarter, with the musical ""Chicago"" in Seoul raking in the most buck, the Korea Arts Management Service announced on Thursday.",https://koreajoongangdaily.joins.com/news/2024-11-07/entertainment/musicPerformance/Koreas-live-music-ticket-sales-rise-nearly-16-in-Q3-with-success-of-Chicago-IU/2172921,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/11/07/9a38bdb4-de9d-45c7-a1b6-e3af708b3ac9.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-11-07,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"Drones, Tweety Bird and fireworks: IU celebrates 100th concert with a bang","IU held encore concerts for her “Hereh” world tour, titled “The Winning,” on Saturday and Sunday at Seoul World Cup Stadium in western Seoul, becoming the first K-pop solo female singer to fill the second-largest stadium in Korea.",https://koreajoongangdaily.joins.com/news/2024-09-23/entertainment/kpop/Drones-Tweety-Bird-and-fireworks-IU-celebrates-100th-concert-with-a-bang/2139522,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/09/23/35ee05d7-6d1a-4259-b594-4485de842528.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-09-23,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU donates 225 million won to charity on 16th anniversary of debut,Singer IU donated 225 million won to help children and older adults to celebrate the 16th anniversary of her professional singing career.,https://koreajoongangdaily.joins.com/news/2024-09-18/entertainment/musicPerformance/IU-donates-225-million-won-to-charity-on-16th-anniversary-of-debut/2136292,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/09/18/2fc94934-5594-4a0b-8fec-d80744d138c0.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-09-18,iu,Social,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU meets 'Grandpa Uaena' YouTuber while on tour,"YouTuber Zev Rattet, the famed IU fan nicknamed “Grandpa Uaena,"" finally had his dream of meeting the Korean singer come true.",https://koreajoongangdaily.joins.com/news/2024-08-01/entertainment/kpop/IU-meets-Grandpa-Uaena-YouTuber-while-on-tour/2103714,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/08/01/1fbf7f9b-61a1-47cd-bb47-8f9b377ee16a.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-08-01,iu,Promotion,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
Singer-actor IU donates 100 million won for Children's Day,"EDAM Entertainment said Sunday that she made the donation to ChildFund Korea under the name IUaena, a portmanteau of her stage name IU and the singer's official fan club Uaena.",https://koreajoongangdaily.joins.com/news/2024-05-05/entertainment/kpop/Singeractor-IU-donates-100-million-won-for-Childrens-Day/2040078,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/05/05/8c4cc2ac-856c-496e-991e-98e59532fa32.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-05-05,iu,Social,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU's agency apologizes to fan due to scalping prevention bungle,"Singer IU's agency apologized for accidentally banning a fan club member while trying to filter out illegal ticket sales to the ""H.E.R"" Seoul concerts held last month.",https://koreajoongangdaily.joins.com/news/2024-04-09/entertainment/kpop/IUs-agency-apologizes-to-fan-due-to-scalping-prevention-bungle/2021577,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/04/09/6f0983a9-7b21-459c-9735-dd5736c1b1f0.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-04-09,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"IU impresses 15,000 fans with massive, but intimate concert finale","IU wowed 15,000 fans with a 30-plus song performance at the KSPO Dome. The ""H.E.R"" world tour will continue to Japan, Taiwan and Singapore.",https://koreajoongangdaily.joins.com/news/2024-03-11/entertainment/kpop/IU-impresses-15000-fans-with-massive-but-intimate-concert-finale/1999160,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/03/11/b7112e9e-7d3e-433e-843d-f44f0d92c6ea.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-03-11,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU's agency cuts out illegal concert ticket scalpers from fan club,"IU's agency, EDAM Entertainment, said that it canceled 44 tickets to the star's upcoming tour over illegal reselling.",https://koreajoongangdaily.joins.com/news/2024-03-01/entertainment/kpop/IUs-agency-cuts-out-illegal-concert-ticket-scalpers-from-fan-club/1992935,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/03/01/b1041f5f-dc5b-4350-aa59-d7a29ff3164e.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-03-01,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
'Not everyone can be a flower': IU reflects on adulthood in new EP,"IU reflects on life in her thirties with the release of her first EP in over two years, featuring tracks that she wrote herself. Her world tour will kick off soon after the release.",https://koreajoongangdaily.joins.com/news/2024-02-20/entertainment/kpop/Not-everyone-can-be-a-flower-IU-reflects-on-adulthood-in-new-EP/1984887,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/02/20/a8c14f14-15d2-4f62-8f32-d6e5001bb8a3.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-02-20,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
'Decision to Leave' actor Tang Wei stars in IU's ''Shh..' music video,"The actor appeared in the teaser for “'Shh..,” a track on IU’s upcoming EP “The Winning” posted to IU’s YouTube channel at midnight on Monday.",https://koreajoongangdaily.joins.com/news/2024-02-13/entertainment/musicPerformance/Decision-to-Leave-actress-Tang-Wei-stars-in-IUs-Shh-music-video/1979371,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/02/13/bd258bf9-9c97-4d1e-9f50-585f5e0a414c.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-02-13,iu,Promotion,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU announces Tweety collab and special edition of 'The Winning' EP,"The singer will release a special version of her upcoming “The Winning” EP with the bright-eyed Warner Bros. character, the singer-songwriter’s agency EDAM Entertainment said Wednesday.",https://koreajoongangdaily.joins.com/news/2024-02-07/entertainment/kpop/IU-announces-Tweety-collab-and-special-edition-of-The-Winning-EP/1976461,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/02/07/e9220d10-55d4-485e-99bc-81c93264b3e2.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-02-07,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU to drop EP 'The Winning' on Feb. 20 after 'Love wins all' hits No. 1,"“The Winning” will be IU’s first EP in more than two years, following the release of her special EP “Pieces” in late 2021.",https://koreajoongangdaily.joins.com/news/2024-01-30/entertainment/kpop/IU-to-drop-EP-The-Winning-on-Feb-20-after-Love-wins-all-hits-No-1/1969924,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/01/30/26c23753-c9bb-4fc8-b068-93b6b59f7632.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-01-30,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU's 'Love wins all' reaches No. 1 on Melon Top 100 in release record,"“Love wins all” became the fastest song by a female artist to top the Melon chart since its system renewal in August 2021, IU's agency EDAM Entertainment said Thursday.",https://koreajoongangdaily.joins.com/news/2024-01-25/entertainment/kpop/IUs-Love-wins-all-reaches-No-1-on-Melon-Top-100-in-release-record/1966798,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/01/25/11b07e5b-f6f6-4ce3-a2d3-c730d5f4beb3.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-01-25,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU scraps 'Love wins' single title after online backlash,"IU's upcoming single, 'Love wins' is now called 'Love wins all' after controversy arose due to the former title's association with the LGBTQ community.",https://koreajoongangdaily.joins.com/news/2024-01-19/entertainment/kpop/IU-scraps-Love-wins-single-title-after-online-backlash/1962772,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/01/21/e0afa76d-fa76-4465-b377-dd6a893093d1.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-01-19,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU to begin her 18-city world tour in Seoul in March,"Singer-songwriter IU will start her world tour on March 2 at the KSPO Dome in Songpa District, southern Seoul, her agency EDAM Entertainment said Wednesday.",https://koreajoongangdaily.joins.com/news/2024-01-17/entertainment/kpop/IU-to-begin-her-18city-world-tour-in-Seoul-in-March/1960330,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/01/17/53abc2b5-ae0a-4c47-82e5-cd1371e4a513.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-01-17,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"BTS's V, 'Concrete Utopia' director collaborate for IU's 'Love wins'","BTS's V and ""Concrete Utopia"" (2023) director Um Tae-hwa took part in singer-songwriter IU's upcoming prerelease single ""Love wins,"" her agency EDAM Entertainment said Tuesday.",https://koreajoongangdaily.joins.com/news/2024-01-16/entertainment/kpop/BTSs-V-Concrete-Utopia-director-collaborate-for-IUs-Love-wins/1959303,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/01/16/3944bbfe-2aaf-4aa0-9600-0bd519e9b1ea.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-01-16,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"IU, Lee Je-hoon, Nayeon warm the New Year with donations","Korean celebrities IU, Lee Je-hoon and Nayeon are continuing the New Year spirit with a round of donations.",https://koreajoongangdaily.joins.com/news/2024-01-05/entertainment/kpop/IU-Lee-Jehoon-Nayeon-warm-the-New-Year-with-donations/1952060,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/01/05/a9803cb9-1d23-4fc7-ba76-338d7283f008.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2024-01-05,iu,Social,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
Documentary 'Persona: Sulli' on late actor to be released on Nov. 13,"The documentary film was originally planned to be released on Netflix in 2019 as part of its five-part series “Persona,” which first featured singer, songwriter and actor IU, whose real name is Lee Ji-eun.",https://koreajoongangdaily.joins.com/news/2023-10-26/entertainment/movies/Documentary-Persona-Sulli-on-late-actor-to-be-released-on-Nov-13/1899130,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/10/26/655f1223-0959-4ec9-8745-1aa8a441327f.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-10-26,iu,Acting,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU's agency will show 'no leniency' for those who spread rumors about singer,"IU's agency EDAM Entertainment, on March 20, reported to the police 58 people who had repeatedly been posting malicious content about IU. It also filed a defamation suit against the spreaders of rumors of espionage in May.",https://koreajoongangdaily.joins.com/news/2023-10-06/entertainment/kpop/IUs-agency-will-show-no-leniency-for-those-who-spread-rumors-about-singer/1884811,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/10/09/083350b0-f778-4249-8247-982d88386345.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-10-06,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"IU donates 300 million won to medical, welfare organizations to mark 15th debut anniversary","The singer-songwriter donated to the Asan Medical Center, the Korean National Association of Child Welfare and the Seoul Metropolitan Children's Hospital as ""IUaena,"" a mash-up of the names IU and Uaena, her fan club.",https://koreajoongangdaily.joins.com/news/2023-09-18/entertainment/television/IU-donates-300-million-won-to-medical-welfare-organizations-to-mark-15th-debut-anniversary/1871954,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/09/18/49c95651-2749-4f55-85d3-d0f2a76e94cd.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-09-18,iu,Social,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU concert film to hit theaters worldwide in September,"Singer-songwriter IU's concert live recording film will open in cinemas worldwide starting with Korea on Sept. 13, her agency EDAM Entertainment said Wednesday.",https://koreajoongangdaily.joins.com/news/2023-08-30/entertainment/kpop/IU-concert-film-to-his-theaters-worldwide-in-September/1858426,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/08/30/fcce41e5-103a-48d2-996b-6eaf22e4311a.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-08-30,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU concert film to premier on Sept. 13 at CGV theaters,"""IU Concert: The Golden Hour,"" a live recording of singer-songwriter and actor IU's 2022 concert, will premiere on Sept. 13, exclusively at CGV theaters.",https://koreajoongangdaily.joins.com/news/2023-08-24/entertainment/movies/IU-concert-film-to-premier-on-Sept-13-at-CGV-theaters/1854007,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/08/24/9d8d80fa-88bc-42d7-93d7-ebbaf3cddc2c.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-08-24,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU to hold 15th anniversary concert in September,"Singer-songwriter IU will hold a concert to celebrate her 15th debut anniversary in September, her agency EDAM Entertainment said Tuesday.",https://koreajoongangdaily.joins.com/news/2023-08-22/entertainment/kpop/IU-to-hold-15th-anniversary-concert-in-September/1852265,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/08/22/a691f2dd-4046-4bad-ae21-e21d0b1cb169.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-08-22,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU's concert film to hit theaters across country in September,A live recording of singer and actor IU's 2022 concert will premiere at theaters across the country next month to celebrate the singer having successfully filled the Olympic Main Stadium for the first time for a Korean female soloist in last ...,https://koreajoongangdaily.joins.com/news/2023-08-17/entertainment/movies/IUs-concert-film-to-hit-theaters-across-country-in-September/1848612,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/08/18/5e06d7a8-23b0-4a3d-ac8b-f027c6c02c7b.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-08-17,iu,Music,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU's copyright battle with German band continues with new claims,"Plagiarism accusations surrounding German band Nekta's ""Here's Us"" (2009) and K-pop singer IU's ""The Red Shoes"" (2013) have been persisting for a decade. Now, the two parties are making different claims about who failed to reply to whom 10 years ...",https://koreajoongangdaily.joins.com/2023/06/21/entertainment/kpop/IU-the-red-shoes-nekta/20230621160530912.html,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/06/21/4e584f67-1a79-479f-a55b-b5f926d6b498.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-06-21,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
Malaysian influencers primped by Korea's premium beauty salon jennyhouse,"When a K-drama skyrockets to global success, the cast members and plot are not the only elements under a microscope. Viewers from all over the globe pay particular attention to the main actors’ outfits and makeup, like IU from “Hotel del Luna”...",https://koreajoongangdaily.joins.com/2023/05/25/culture/lifeStyle/jennyhouse-watsons-malaysia-son-yejin/20230525163159613.html,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/05/25/262c1050-4b28-41ea-a181-f2d010fa97a9.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-05-25,iu,Promotion,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
"[FACTCHECK] Le Sserafim, IU and the copyright witch-hunt","The issue of plagiarism has been lurking in the music industry for as long as there has been an industry, but the growing awareness of copyright and easier online access to songs have led to a growing number of accusations that a new song ...",https://koreajoongangdaily.joins.com/2023/05/22/culture/features/FactCheck-Le-Sserafim-IU/20230522160907094.html,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/06/12/1dde8f05-6980-4c6b-a4fb-9f03d07f59ac.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-05-22,iu,Controversy,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
IU donates 250 million won to organizations in need to mark her birthday,"Singer-songwriter IU donated 250 million won ($187,000) to organizations in need, in celebration of her birthday, her agency EDAM Entertainment announced Tuesday. “The things I’ve learned from Uaena, the things I felt ...",https://koreajoongangdaily.joins.com/2023/05/16/entertainment/kpop/IU-EDAM-EDAM-Entertainment/20230516181719215.html,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/05/16/2906665c-99f0-41ca-8aac-4dfeb7453204.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-05-16,iu,Social,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
Korean film 'Dream' reaches 1 million tickets sold,"“Dream,” starring IU (real name Lee Ji-eun) and Park Seo-joon, reached one million sold tickets on Thursday, the sixteenth day of its release, distributor Plus M Entertainment announced the same day. Helmed by director Lee Byeong-heon, known for...",https://koreajoongangdaily.joins.com/2023/05/11/entertainment/movies/Korea-Dream-IU/20230511154146990.html,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2023/05/11/3e589cc7-091e-4c40-8447-ce2d5d4a0a52.jpg,Korea JoongAng Daily,Sentinel: Value used to set a document field to the server timestamp.,2023-05-11,iu,Acting,Sentinel: Value used to set a document field to the server timestamp.,CURRENT
